Location,Diversity-Index,"Black or African American alone, percent, 2013","American Indian and Alaska Native alone, percent, 2013","Asian alone, percent, 2013","Native Hawaiian and Other Pacific Islander alone, percent,","Two or More Races, percent, 2013","Hispanic or Latino, percent, 2013","White alone, not Hispanic or Latino, percent, 2013"
"Dunn County, WI",0.124506,0.6,0.4,2.8,0.0,1.2,1.7,93.5
"Hubbard County, MN",0.124418,0.4,2.6,0.4,0.1,1.8,1.8,93.5
"Boyd County, KY",0.124389,3.0,0.3,0.5,0.0,1.4,1.6,93.5
"Lincoln County, MT",0.12437,0.3,1.1,0.4,0.1,2.3,2.7,93.5
"Clearfield County, PA",0.124158,2.8,0.2,0.6,0.0,0.8,2.7,93.5
"Warrick County, IN",0.122895,1.4,0.2,1.8,0.0,1.4,1.7,93.6
"Madison County, NY",0.122844,1.9,0.7,0.9,0.0,1.3,2.0,93.6
"Hancock County, IN",0.122786,2.2,0.3,0.9,0.0,1.2,2.0,93.6
"Bristol County, RI",0.122757,1.0,0.2,1.7,0.0,1.5,2.3,93.6
"Sheridan County, MT",0.122729,0.4,1.7,0.5,0.0,2.2,1.9,93.6
"Clinton County, OH",0.122723,2.3,0.3,0.5,0.1,1.9,1.6,93.6
"Koochiching County, MN",0.122712,0.7,2.6,0.3,0.0,1.7,1.3,93.6
"Scioto County, OH",0.122701,2.7,0.5,0.4,0.0,1.7,1.2,93.6
"Jefferson County, IN",0.122701,2.0,0.3,0.7,0.0,1.3,2.4,93.6
"Lincoln County, MO",0.122699,2.0,0.4,0.4,0.0,1.7,2.2,93.6
"Greenbrier County, WV",0.122663,2.8,0.4,0.4,0.0,1.6,1.3,93.6
"Van Buren County, AR",0.122613,0.7,0.9,0.4,0.0,1.9,2.8,93.6
"Pickens County, GA",0.122603,1.4,0.5,0.6,0.0,1.2,3.0,93.6
"Traill County, ND",0.122585,0.8,1.1,0.3,0.0,1.5,3.0,93.6
"Daniels County, MT",0.122572,0.3,2.5,0.3,0.0,1.7,2.0,93.6
"Monroe County, KY",0.122385,2.4,0.1,0.1,0.0,1.0,2.9,93.6
"Zapata County, TX",0.122362,0.5,0.4,0.2,0.0,0.2,93.5,5.8
"Bear Lake County, ID",0.121925,0.3,0.9,0.5,0.0,1.0,4.2,93.6
"Barnes County, ND",0.121141,1.3,0.8,1.2,0.1,1.6,1.6,93.7
"Merrimack County, NH",0.121044,1.3,0.3,1.7,0.0,1.4,1.8,93.7
"Stutsman County, ND",0.121035,1.1,1.6,0.7,0.1,1.3,2.0,93.7
"Lewis County, TN",0.120969,2.1,0.4,0.6,0.0,1.3,2.0,93.7
"Addison County, VT",0.120942,1.0,0.3,1.6,0.0,1.8,2.0,93.7
"Cocke County, TN",0.120892,2.0,0.5,0.4,0.1,1.6,2.1,93.7
"Washington County, WI",0.120809,1.0,0.4,1.2,0.0,1.1,2.9,93.7
"Otter Tail County, MN",0.120793,1.1,0.6,0.6,0.1,1.2,3.0,93.7
"Delta County, MI",0.120788,0.3,2.5,0.5,0.0,2.2,1.0,93.7
"Columbia County, PA",0.120781,2.0,0.2,1.1,0.0,1.0,2.5,93.7
"McKean County, PA",0.120768,2.7,0.3,0.5,0.0,1.0,2.0,93.7
"Menominee County, MI",0.120755,0.5,2.9,0.4,0.0,1.3,1.5,93.7
"Bonner County, ID",0.120744,0.3,0.9,0.6,0.1,2.2,2.6,93.7
"Adair County, KY",0.120703,2.9,0.3,0.3,0.1,1.2,1.8,93.7
"Schoharie County, NY",0.120693,1.4,0.3,0.8,0.0,1.3,3.0,93.7
"Harding County, SD",0.120681,0.6,1.8,0.2,0.0,1.9,2.5,93.7
"Montgomery County, IL",0.120584,3.3,0.2,0.4,0.0,0.7,1.7,93.7
"Barber County, KS",0.120558,0.6,0.8,0.5,0.0,1.8,3.2,93.7
"Adams County, ID",0.120523,0.2,1.0,0.5,0.1,1.7,3.3,93.7
"Stillwater County, MT",0.120521,0.3,1.0,0.4,0.0,1.9,3.2,93.7
"Morgan County, KY",0.120104,4.2,0.3,0.3,0.0,0.8,0.9,93.7
"Rawlins County, KS",0.119786,0.4,0.2,0.3,0.0,1.0,4.6,93.7
VERMONT,0.119187,1.2,0.4,1.4,0.0,1.8,1.7,93.8
"Lake County, SD",0.119148,1.1,0.9,0.9,0.0,1.4,2.3,93.8
"Windham County, VT",0.11912,1.2,0.3,1.1,0.1,1.9,2.0,93.8
"Champaign County, OH",0.119038,2.3,0.4,0.4,0.0,1.9,1.4,93.8
"Cheatham County, TN",0.118989,1.7,0.4,0.4,0.1,1.3,2.6,93.8
"Columbia County, WI",0.118982,1.4,0.6,0.6,0.1,1.1,2.8,93.8
"Christian County, MO",0.118968,0.7,0.7,0.6,0.1,1.8,2.7,93.8
"Crook County, WY",0.118947,1.2,0.9,0.2,0.0,1.4,2.8,93.8
"Searcy County, AR",0.118917,0.3,1.4,0.3,0.0,2.5,2.0,93.8
"Marion County, KS",0.1189,1.0,0.7,0.3,0.1,1.6,2.9,93.8
"Wallowa County, OR",0.118863,0.5,0.9,0.4,0.1,2.1,2.7,93.8
"Lemhi County, ID",0.118813,0.4,1.0,0.5,0.0,1.9,2.9,93.8
"Tuscola County, MI",0.118799,1.2,0.6,0.3,0.0,1.2,3.2,93.8
"Burt County, NE",0.11879,0.5,2.0,0.3,0.2,1.2,2.8,93.8
"Grayson County, VA",0.11878,2.2,0.2,0.2,0.0,1.0,2.8,93.8
"Carroll County, IL",0.11875,1.1,0.4,0.6,0.0,1.2,3.3,93.8
"Woodson County, KS",0.118745,0.4,1.3,0.1,0.0,2.1,2.8,93.8
"Clark County, WI",0.118336,0.4,0.7,0.5,0.0,0.7,4.1,93.8
"O'Brien County, IA",0.118326,0.9,0.2,0.8,0.0,0.9,4.0,93.8
"Kearney County, NE",0.117742,0.2,0.4,0.3,0.0,0.9,4.8,93.8
"Lincoln County, SD",0.117435,1.2,0.6,1.2,0.0,1.4,1.8,93.9
"Russell County, KS",0.117328,0.9,0.7,0.9,0.0,1.6,2.2,93.9
"Clinton County, MO",0.117302,1.6,0.7,0.4,0.0,1.6,2.0,93.9
"Sullivan County, TN",0.117227,2.3,0.4,0.7,0.0,1.3,1.7,93.9
"Floyd County, IA",0.117192,1.7,0.3,1.6,0.0,0.7,2.2,93.9
"Burke County, ND",0.117183,0.7,1.0,0.7,0.0,1.3,2.7,93.9
"Grand Isle County, VT",0.117162,0.5,1.1,0.4,0.1,2.7,1.5,93.9
"Gallia County, OH",0.117129,2.6,0.4,0.5,0.0,1.7,1.2,93.9
"Floyd County, VA",0.117069,1.9,0.2,0.5,0.0,1.2,2.6,93.9
"Dickey County, ND",0.116952,0.9,0.8,0.5,0.0,1.4,3.1,93.9
"Wayne County, KY",0.116944,1.8,0.3,0.4,0.1,1.2,2.9,93.9
"Tazewell County, VA",0.116891,3.4,0.2,0.8,0.0,1.0,0.8,93.9
"Cloud County, KS",0.116836,0.8,0.5,0.3,0.0,1.6,3.3,93.9
"Greene County, PA",0.11682,3.4,0.2,0.3,0.0,1.1,1.3,93.9
"Mineral County, CO",0.116737,0.3,1.0,0.4,0.0,1.1,3.6,93.9
"Marshall County, MN",0.116401,0.5,0.9,0.3,0.1,0.9,4.1,93.9
MAINE,0.115582,1.4,0.7,1.1,0.0,1.6,1.4,94.0
"Dade County, GA",0.115501,1.4,0.6,0.9,0.1,1.2,2.1,94.0
"Steuben County, NY",0.11546,1.6,0.3,1.5,0.0,1.5,1.5,94.0
"Laclede County, MO",0.115438,0.8,0.8,0.5,0.1,1.8,2.2,94.0
"Logan County, OH",0.115422,1.8,0.3,0.7,0.0,2.0,1.4,94.0
"White County, TN",0.115338,1.9,0.5,0.3,0.1,1.5,2.1,94.0
"Macon County, MO",0.115321,2.4,0.3,0.5,0.1,1.8,1.2,94.0
"Indiana County, PA",0.115298,2.7,0.2,1.0,0.0,1.0,1.3,94.0
"Monroe County, MO",0.115288,2.8,0.4,0.4,0.0,1.4,1.0,94.0
"Madison County, NC",0.115282,1.6,0.4,0.5,0.0,1.4,2.5,94.0
"Broadwater County, MT",0.11525,0.4,1.5,0.2,0.2,1.5,2.6,94.0
"Wheatland County, MT",0.115222,0.4,0.8,0.5,0.0,2.8,1.7,94.0
"Divide County, ND",0.115174,0.6,0.6,0.7,0.0,1.2,3.1,94.0
"Sullivan County, PA",0.115157,2.9,0.4,0.4,0.0,0.9,1.7,94.0
"Schuyler County, IL",0.114904,3.3,0.1,0.3,0.0,0.6,1.9,94.0
"Kidder County, ND",0.114573,0.4,0.7,0.9,0.0,0.9,4.0,94.0
"Unicoi County, TN",0.114507,0.4,0.3,0.2,0.0,1.0,4.2,94.0
"Rich County, UT",0.114355,0.0,0.6,0.3,0.0,0.8,4.4,94.0
"Polk County, MO",0.113658,0.9,0.7,0.8,0.1,1.5,2.1,94.1
"Barron County, WI",0.113589,1.1,1.0,0.6,0.0,1.2,2.3,94.1
"Sharp County, AR",0.113557,0.8,1.1,0.4,0.0,1.9,2.0,94.1
"Benzie County, MI",0.113538,0.6,1.6,0.3,0.0,1.4,2.2,94.1
"Coffey County, KS",0.113537,0.8,0.9,0.6,0.0,1.5,2.4,94.1
"Moore County, TN",0.113472,2.5,0.3,0.6,0.0,1.1,1.6,94.1
"Henry County, IN",0.113398,2.6,0.2,0.4,0.0,1.3,1.6,94.1
"Mercer County, ND",0.113379,0.4,2.3,0.3,0.1,1.2,2.1,94.1
"Oliver County, ND",0.113364,0.3,2.6,0.3,0.0,1.0,1.9,94.1
"Clay County, NC",0.113242,1.0,0.4,0.2,0.0,1.4,3.1,94.1
"Martin County, MN",0.112892,0.5,0.3,0.7,0.0,1.0,3.8,94.1
"Chisago County, MN",0.111807,1.3,0.7,0.9,0.0,1.3,1.9,94.2
"Ray County, MO",0.111678,1.4,0.6,0.4,0.1,1.5,2.2,94.2
"Harrison County, KY",0.111632,2.1,0.3,0.3,0.1,1.2,2.0,94.2
"Jefferson County, KS",0.111582,0.7,1.0,0.2,0.1,1.8,2.4,94.2
"Dade County, MO",0.111572,0.5,0.9,0.3,0.0,2.5,1.8,94.2
"Shannon County, MO",0.111537,0.3,1.0,0.2,0.0,2.5,1.9,94.2
"Osage County, KS",0.111531,0.5,0.8,0.4,0.0,1.8,2.6,94.2
"Kingman County, KS",0.111502,0.3,0.7,0.6,0.0,1.6,2.8,94.2
"Park County, MT",0.111492,0.3,1.2,0.5,0.1,1.7,2.6,94.2
"Wythe County, VA",0.111431,3.0,0.2,0.6,0.0,1.2,1.1,94.2
"Madison County, MT",0.111403,0.5,0.6,0.4,0.0,1.6,3.0,94.2
"Mineral County, WV",0.111369,3.1,0.2,0.5,0.0,1.4,0.9,94.2
"Cherokee County, IA",0.111356,0.8,0.3,0.6,0.1,0.9,3.3,94.2
"Russell County, KY",0.111099,0.6,0.4,0.4,0.0,1.0,3.7,94.2
"Sanilac County, MI",0.111069,0.5,0.6,0.4,0.0,1.1,3.7,94.2
"Adams County, IN",0.110617,0.4,0.3,0.3,0.0,0.7,4.4,94.2
"Penobscot County, ME",0.110057,0.9,1.2,1.0,0.0,1.5,1.2,94.3
"Chippewa County, WI",0.109977,1.5,0.6,1.4,0.0,1.1,1.4,94.3
"Izard County, AR",0.109932,1.5,1.0,0.3,0.0,1.4,1.7,94.3
"Gibson County, IN",0.1098,2.1,0.3,0.4,0.0,1.7,1.4,94.3
"Perry County, IN",0.109643,2.9,0.3,0.5,0.0,0.8,1.3,94.3
"Garrard County, KY",0.109624,2.2,0.2,0.3,0.1,1.0,2.3,94.3
"Sequatchie County, TN",0.109298,0.7,0.5,0.3,0.1,1.2,3.5,94.3
"Hancock County, IA",0.10929,0.6,0.2,0.5,0.0,1.0,3.6,94.3
"Rush County, KS",0.10928,0.3,0.8,0.2,0.0,1.3,3.5,94.3
"Humboldt County, IA",0.109138,0.7,0.2,0.4,0.0,1.0,3.8,94.3
"Banner County, NE",0.108764,0.1,0.4,0.0,0.0,1.1,4.3,94.3
"Clermont County, OH",0.108058,1.4,0.2,1.1,0.0,1.4,1.7,94.4
"Medina County, OH",0.108015,1.4,0.2,1.2,0.0,1.2,1.9,94.4
"Lawrence County, TN",0.107994,1.7,0.4,0.4,0.0,1.5,1.8,94.4
"Anderson County, KY",0.107989,2.1,0.2,0.6,0.0,1.3,1.5,94.4
"Linn County, KS",0.107987,0.7,0.8,0.3,0.1,1.5,2.3,94.4
"Tazewell County, IL",0.107969,1.3,0.3,0.8,0.0,1.3,2.2,94.4
"Westmoreland County, PA",0.107905,2.5,0.1,0.8,0.0,1.3,1.0,94.4
"Wibaux County, MT",0.107824,0.1,1.1,0.4,0.2,1.3,2.7,94.4
"Aitkin County, MN",0.107822,0.4,2.6,0.2,0.0,1.5,1.1,94.4
"Winston County, AL",0.107808,0.9,0.8,0.3,0.2,1.3,2.7,94.4
"Grant County, SD",0.107733,0.5,0.9,0.5,0.0,1.0,3.0,94.4
"Steuben County, IN",0.107566,0.8,0.3,0.6,0.0,1.0,3.3,94.4
"Plymouth County, IA",0.107461,0.5,0.4,0.6,0.1,1.0,3.5,94.4
"Trimble County, KY",0.107444,1.3,0.6,0.5,0.1,1.0,3.3,94.4
"Carroll County, IN",0.107126,0.5,0.3,0.2,0.0,1.0,4.0,94.4
"Wayne County, OH",0.106199,1.6,0.2,0.8,0.0,1.4,1.6,94.5
"Henry County, MO",0.106186,1.2,0.7,0.3,0.1,1.5,1.9,94.5
"Vernon County, MO",0.106156,0.7,0.8,0.7,0.1,1.6,2.0,94.5
"Carroll County, MO",0.106143,2.1,0.3,0.4,0.1,1.4,1.3,94.5
"Warren County, NY",0.106127,1.1,0.3,0.9,0.0,1.4,2.1,94.5
"Iron County, MO",0.106124,1.6,0.7,0.1,0.0,1.7,1.6,94.5
"Franklin County, VT",0.106123,0.6,1.0,0.6,0.0,2.2,1.4,94.5
"Washington County, VT",0.106119,0.9,0.3,0.9,0.0,1.8,1.9,94.5
"Spencer County, KY",0.106116,1.7,0.3,0.4,0.1,1.2,2.0,94.5
"Charlevoix County, MI",0.106074,0.4,1.7,0.4,0.0,1.8,1.6,94.5
"Fergus County, MT",0.106051,0.4,1.3,0.3,0.0,1.7,2.1,94.5
"Nemaha County, NE",0.106037,1.1,0.3,0.6,0.0,1.4,2.4,94.5
"Smyth County, VA",0.106026,2.2,0.2,0.4,0.0,1.1,1.8,94.5
"Columbiana County, OH",0.106021,2.4,0.2,0.3,0.0,1.3,1.4,94.5
"Boone County, AR",0.106016,0.4,0.8,0.5,0.1,1.8,2.3,94.5
"St. Clair County, MO",0.106005,0.7,0.8,0.2,0.0,1.8,2.3,94.5
"Newton County, AR",0.105992,0.2,1.3,0.3,0.0,2.4,1.5,94.5
"Hancock County, WV",0.105968,2.5,0.2,0.3,0.0,1.5,1.2,94.5
"Lincoln County, KY",0.105966,2.4,0.2,0.2,0.0,1.3,1.6,94.5
"Powder River County, MT",0.105957,0.1,2.0,0.2,0.0,1.8,1.7,94.5
"Ottawa County, KS",0.10591,1.0,0.6,0.2,0.0,1.4,2.7,94.5
"Marquette County, WI",0.105865,0.6,0.7,0.5,0.0,1.0,3.0,94.5
"Pocahontas County, IA",0.105779,0.9,0.5,0.2,0.2,1.1,3.1,94.5
"Jefferson County, NE",0.105692,0.5,0.4,0.3,0.0,1.2,3.3,94.5
"Ohio County, KY",0.105619,1.0,0.3,0.3,0.1,0.9,3.4,94.5
"Fillmore County, NE",0.105533,0.7,0.6,0.5,0.0,0.6,3.6,94.5
"Sheridan County, KS",0.10522,0.2,0.5,0.2,0.1,1.1,4.0,94.5
"Anderson County, KS",0.10437,0.6,0.7,0.7,0.0,1.6,1.8,94.6
"Mahaska County, IA",0.104335,1.2,0.4,1.2,0.0,1.1,1.8,94.6
"St. Croix County, WI",0.1043,0.7,0.5,1.0,0.0,1.3,2.1,94.6
"Harrison County, WV",0.104274,1.7,0.2,0.6,0.0,1.6,1.5,94.6
"Oregon County, MO",0.104259,0.4,1.4,0.4,0.1,2.0,1.4,94.6
"Iosco County, MI",0.104258,0.6,0.8,0.6,0.1,1.7,2.0,94.6
"Lake of the Woods County, MN",0.10425,0.3,0.8,0.8,0.0,2.1,1.6,94.6
"Oswego County, NY",0.104212,1.0,0.5,0.7,0.0,1.3,2.3,94.6
"Washington County, MO",0.104208,2.3,0.5,0.3,0.0,1.3,1.2,94.6
"Sargent County, ND",0.104182,0.5,1.0,0.6,0.1,0.8,2.6,94.6
"Page County, VA",0.104178,2.1,0.2,0.4,0.0,1.1,1.8,94.6
"Johnson County, TN",0.104158,2.3,0.2,0.2,0.0,1.0,1.7,94.6
"Bell County, KY",0.104157,2.4,0.2,0.3,0.1,1.6,0.9,94.6
"Green County, KY",0.104155,2.2,0.4,0.2,0.0,1.3,1.6,94.6
"Rock County, MN",0.104126,0.8,0.5,0.7,0.0,1.2,2.6,94.6
"Shiawassee County, MI",0.104099,0.6,0.5,0.5,0.1,1.3,2.7,94.6
"Carter County, MO",0.104079,0.4,1.2,0.2,0.0,2.0,2.1,94.6
"Door County, WI",0.104069,0.6,0.7,0.5,0.0,1.1,2.8,94.6
"Union County, GA",0.104035,0.8,0.4,0.4,0.0,1.3,2.8,94.6
"Phillips County, KS",0.104032,0.5,0.5,0.7,0.0,1.3,2.8,94.6
"Cass County, NE",0.10398,0.5,0.5,0.4,0.1,1.4,2.9,94.6
"Cumberland County, KY",0.103969,2.9,0.1,0.2,0.0,1.3,1.0,94.6
"Randolph County, IN",0.103878,0.6,0.4,0.3,0.0,1.1,3.2,94.6
"Murray County, MN",0.103838,0.4,0.2,1.1,0.0,0.9,3.2,94.6
"Brown County, MN",0.103683,0.4,0.2,0.7,0.0,0.6,3.6,94.6
"Hayes County, NE",0.103497,0.6,0.3,0.4,0.1,0.2,3.9,94.6
"LaGrange County, IN",0.103473,0.4,0.3,0.4,0.0,0.7,3.9,94.6
"Aroostook County, ME",0.102487,0.8,1.8,0.5,0.1,1.3,1.1,94.7
"Rowan County, KY",0.102445,1.9,0.2,0.8,0.0,1.1,1.4,94.7
"Morgan County, MO",0.102404,0.9,0.8,0.5,0.0,1.6,1.9,94.7
"Fayette County, IA",0.102373,1.2,0.2,0.8,0.1,1.1,2.2,94.7
"Breckinridge County, KY",0.102344,2.2,0.4,0.3,0.0,1.3,1.3,94.7
"Pulaski County, KY",0.102327,1.3,0.3,0.6,0.0,1.1,2.3,94.7
"Nelson County, ND",0.102316,0.5,1.7,0.2,0.0,1.4,1.9,94.7
"Wilkin County, MN",0.102302,0.3,1.2,0.4,0.0,1.2,2.4,94.7
"Greene County, AR",0.102263,0.7,0.5,0.3,0.0,1.3,2.6,94.7
"Camden County, MO",0.102263,0.6,0.6,0.6,0.0,1.2,2.6,94.7
"Clay County, IA",0.102115,0.6,0.2,0.6,0.0,1.0,3.0,94.7
"Deuel County, SD",0.102046,1.0,0.4,0.2,0.0,0.8,3.1,94.7
"Oneida County, ID",0.101972,0.3,0.4,0.5,0.1,1.2,3.2,94.7
"Bland County, VA",0.101856,3.5,0.1,0.3,0.0,0.8,0.6,94.7
"Starke County, IN",0.101855,0.5,0.5,0.3,0.0,1.1,3.4,94.7
"Cheshire County, NH",0.100584,0.7,0.3,1.3,0.0,1.4,1.7,94.8
"Isanti County, MN",0.10058,0.8,0.5,0.9,0.1,1.6,1.7,94.8
"Carlisle County, KY",0.100525,1.2,0.7,0.3,0.0,1.3,2.0,94.8
"Meigs County, TN",0.100513,1.5,0.9,0.3,0.0,1.2,1.8,94.8
"Grant County, KY",0.100466,0.9,0.3,0.4,0.2,1.2,2.4,94.8
"Teton County, MT",0.100445,0.1,1.7,0.2,0.0,1.9,1.4,94.8
"Andrew County, MO",0.100426,0.8,0.3,0.5,0.0,1.4,2.4,94.8
"Pendleton County, WV",0.100394,2.4,0.3,0.2,0.0,1.2,1.3,94.8
"Jones County, IA",0.100394,2.4,0.3,0.5,0.0,0.6,1.6,94.8
"Pulaski County, IN",0.100371,0.8,0.4,0.4,0.0,1.0,2.7,94.8
"Van Wert County, OH",0.100255,1.0,0.2,0.3,0.0,1.2,2.8,94.8
"Ford County, IL",0.100249,0.9,0.3,0.4,0.0,1.0,2.9,94.8
"Montgomery County, IA",0.100076,0.3,0.5,0.4,0.0,0.9,3.3,94.8
"Butler County, KY",0.100056,0.6,0.5,0.3,0.0,0.9,3.3,94.8
"Lafayette County, WI",0.099823,0.4,0.6,0.4,0.0,0.6,3.7,94.8
"Holt County, NE",0.099753,0.2,0.6,0.3,0.1,0.7,3.8,94.8
"Dent County, MO",0.098769,0.6,1.0,0.6,0.0,1.7,1.3,94.9
"Washburn County, WI",0.09873,0.5,1.3,0.5,0.0,1.5,1.5,94.9
"Wadena County, MN",0.09872,1.0,0.7,0.4,0.0,1.7,1.5,94.9
"Montgomery County, MO",0.098688,1.5,0.3,0.5,0.0,1.4,1.6,94.9
"Jasper County, IA",0.09868,1.7,0.4,0.5,0.0,1.0,1.7,94.9
"Howell County, MO",0.098676,0.5,0.7,0.6,0.0,1.7,1.8,94.9
"Wabash County, IN",0.098671,0.7,0.7,0.5,0.0,1.1,2.2,94.9
"Webster County, MO",0.09864,1.1,0.7,0.3,0.0,1.6,1.8,94.9
"Langlade County, WI",0.098635,0.7,1.3,0.4,0.0,1.3,1.9,94.9
"Calhoun County, IA",0.098625,1.8,0.4,0.3,0.0,0.8,1.9,94.9
"Livingston County, MI",0.098613,0.6,0.4,0.9,0.0,1.3,2.2,94.9
"Bates County, MO",0.098588,1.1,0.7,0.2,0.0,1.4,2.1,94.9
"Carbon County, MT",0.098573,0.4,1.1,0.4,0.0,1.2,2.3,94.9
"Barry County, MI",0.09853,0.5,0.5,0.5,0.0,1.3,2.5,94.9
"Missaukee County, MI",0.098517,0.4,0.7,0.4,0.0,1.5,2.4,94.9
"Parke County, IN",0.098485,2.6,0.4,0.2,0.0,0.7,1.3,94.9
"Mills County, IA",0.098473,0.5,0.5,0.5,0.1,1.1,2.7,94.9
"Douglas County, SD",0.098457,0.5,2.2,0.3,0.0,1.0,1.8,94.9
"Green County, WI",0.098388,0.6,0.2,0.7,0.0,0.9,2.9,94.9
"Jo Daviess County, IL",0.098303,0.5,0.2,0.5,0.0,0.9,3.1,94.9
"Marshall County, IL",0.098291,0.5,0.3,0.7,0.0,0.8,3.1,94.9
"Carroll County, VA",0.098249,0.8,0.3,0.2,0.0,0.7,3.2,94.9
"McCook County, SD",0.098241,0.5,0.6,0.3,0.0,0.8,3.2,94.9
"Elliott County, KY",0.098051,3.5,0.2,0.1,0.1,0.6,0.9,94.9
"York County, ME",0.096877,0.7,0.3,1.2,0.0,1.4,1.5,95.0
"Lamoille County, VT",0.096861,0.8,0.5,0.6,0.0,1.7,1.5,95.0
"Allegany County, NY",0.096853,1.3,0.3,1.0,0.0,1.2,1.5,95.0
"Sagadahoc County, ME",0.096842,0.8,0.4,0.8,0.0,1.7,1.5,95.0
"Wexford County, MI",0.096831,0.5,0.7,0.7,0.1,1.6,1.7,95.0
"Marion County, IA",0.096822,0.9,0.2,1.3,0.0,1.0,1.8,95.0
"Cannon County, TN",0.096809,1.5,0.2,0.3,0.1,1.4,1.6,95.0
"Kalkaska County, MI",0.096806,0.5,0.9,0.3,0.1,1.7,1.7,95.0
"Chenango County, NY",0.096768,0.9,0.4,0.5,0.0,1.3,2.1,95.0
"Arenac County, MI",0.096748,0.4,1.3,0.3,0.1,1.4,1.9,95.0
"Lawrence County, OH",0.096736,2.2,0.2,0.4,0.0,1.4,0.8,95.0
"Boone County, IA",0.096709,1.0,0.4,0.5,0.0,1.1,2.3,95.0
"Union County, IA",0.096683,1.0,0.4,0.5,0.0,1.0,2.4,95.0
"Granite County, MT",0.096672,0.3,0.7,0.3,0.0,1.9,2.0,95.0
"Clay County, KS",0.096653,0.6,0.5,0.4,0.1,1.2,2.5,95.0
"Marion County, AR",0.096637,0.4,0.8,0.3,0.1,1.7,2.2,95.0
"Cumberland County, TN",0.096593,0.6,0.4,0.5,0.1,1.0,2.7,95.0
"Waupaca County, WI",0.096558,0.4,0.6,0.5,0.0,0.9,2.8,95.0
"Golden Valley County, ND",0.096534,0.7,0.8,0.2,0.1,0.8,2.8,95.0
"Washington County, KS",0.096468,0.7,0.5,0.4,0.1,1.0,2.9,95.0
"Furnas County, NE",0.096368,0.3,0.6,0.2,0.1,1.1,3.1,95.0
"Meeker County, MN",0.096229,0.5,0.3,0.4,0.1,0.8,3.4,95.0
"Polk County, NE",0.096132,0.3,0.3,0.2,0.0,1.1,3.5,95.0
"Jefferson County, MO",0.094983,1.0,0.3,0.7,0.0,1.3,1.7,95.1
"Belknap County, NH",0.094976,0.7,0.3,1.2,0.0,1.4,1.5,95.1
"Pierce County, WI",0.094973,0.6,0.4,0.9,0.0,1.3,1.8,95.1
"Otsego County, MI",0.094971,0.5,0.8,0.5,0.0,1.7,1.5,95.1
"Miller County, MO",0.094969,0.6,0.6,0.3,0.2,1.7,1.6,95.1
"Bennington County, VT",0.094951,1.0,0.3,0.9,0.0,1.3,1.7,95.1
"Guernsey County, OH",0.094932,1.5,0.3,0.3,0.0,1.8,1.0,95.1
"Osceola County, MI",0.094924,0.9,0.6,0.3,0.0,1.8,1.5,95.1
"Spink County, SD",0.094863,0.7,1.5,0.1,0.0,1.0,1.9,95.1
"Herkimer County, NY",0.094852,1.3,0.3,0.5,0.0,1.2,2.0,95.1
"Caldwell County, MO",0.094845,0.6,0.5,0.2,0.0,1.7,2.0,95.1
"Towns County, GA",0.094772,1.1,0.3,0.6,0.0,0.6,2.5,95.1
"McHenry County, ND",0.094728,0.4,1.0,0.3,0.0,1.1,2.5,95.1
"Owen County, KY",0.09471,1.0,0.3,0.2,0.0,1.0,2.6,95.1
"Somerset County, PA",0.094635,2.7,0.1,0.4,0.0,0.7,1.3,95.1
"Casey County, KY",0.094595,0.7,0.3,0.2,0.1,1.0,2.9,95.1
"Hamlin County, SD",0.094472,0.5,0.5,0.2,0.0,0.7,3.2,95.1
"Maverick County, TX",0.094273,0.6,1.5,0.5,0.0,0.4,95.1,3.2
"Kennebec County, ME",0.093086,0.6,0.5,0.8,0.0,1.7,1.4,95.2
"Christian County, IL",0.093075,1.6,0.2,0.6,0.0,1.0,1.5,95.2
"Clare County, MI",0.093053,0.6,0.7,0.3,0.0,1.5,1.8,95.2
"Blair County, PA",0.093045,1.8,0.1,0.6,0.0,1.3,1.1,95.2
"Antrim County, MI",0.093,0.3,1.1,0.3,0.0,1.4,1.9,95.2
"Reynolds County, MO",0.092995,0.8,0.8,0.2,0.0,2.0,1.3,95.2
"Dallas County, MO",0.092969,0.3,1.0,0.2,0.1,1.7,1.8,95.2
"Winneshiek County, IA",0.092939,0.8,0.1,1.2,0.0,0.8,2.2,95.2
"De Witt County, IL",0.09293,0.8,0.2,0.5,0.0,1.2,2.3,95.2
"Lincoln County, KS",0.092922,0.3,0.6,0.3,0.0,1.2,2.4,95.2
"Warren County, IA",0.092905,0.7,0.3,0.6,0.0,1.1,2.4,95.2
"Harrison County, OH",0.092884,2.2,0.2,0.2,0.0,1.6,0.8,95.2
"Cleburne County, AR",0.092873,0.5,0.8,0.3,0.0,1.4,2.3,95.2
"Washington County, NE",0.092867,0.8,0.3,0.3,0.1,1.1,2.5,95.2
"Wabasha County, MN",0.09269,0.6,0.2,0.5,0.0,1.0,2.9,95.2
"Clinton County, KY",0.092685,0.5,0.2,0.2,0.5,1.3,2.8,95.2
"Windsor County, VT",0.091231,0.7,0.3,0.9,0.0,1.5,1.4,95.3
"Bullitt County, KY",0.091206,1.0,0.4,0.6,0.0,1.2,1.7,95.3
"Wright County, MO",0.091196,0.6,0.6,0.3,0.0,1.5,1.7,95.3
"Grundy County, MO",0.091184,0.8,0.5,0.6,0.0,1.1,1.9,95.3
